Name,Image URL,Product URL,Price (INR Numeric),Price (INR Formatted),Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
AMD Ryzen 5 5600X3D 3.3 GHz 6-Core Processor,,https://pcpartpicker.com/product/vqhv6h/amd-ryzen-5-5600x3d-33-ghz-6-core-processor-100-100001176wo,,,AMD,100-100001176WO,AMD Ryzen 5,Zen 3,Vermeer-X,AM4,6,3.3 GHz,4.4 GHz,,,3 MB,96 MB,105 W,,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i5-9400 2.9 GHz 6-Core Processor,,https://pcpartpicker.com/product/V4RzK8/intel-core-i5-9400-29-ghz-6-core-processor-bx80684i59400,,16464.0,Intel,BX80684I59400,Intel Core i5,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,6,2.9 GHz,4.1 GHz,,,1.5 MB,9 MB,65 W,Intel UHD Graphics 630,128 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Core i5-3470 3.2 GHz Quad-Core Processor,,https://pcpartpicker.com/product/PBCwrH/intel-cpu-bx80637i53470,,6423.0,Intel,BX80637i53470,Intel Core i5,Ivy Bridge,Ivy Bridge,LGA1155,4,3.2 GHz,,,,1 MB,6 MB,77 W,Intel HD Graphics 2500,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i7-3770K 3.5 GHz Quad-Core Processor,,https://pcpartpicker.com/product/7KjG3C/intel-cpu-bx80637i73770k,,17632.0,Intel,BX80637I73770K,Intel Core i7,Ivy Bridge,Ivy Bridge,LGA1155,4,3.5 GHz,,,,1 MB,8 MB,77 W,Intel HD Graphics 4000,,No,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
Intel Core i5-4690 3.5 GHz Quad-Core Processor,,https://pcpartpicker.com/product/r8W9TW/intel-cpu-bx80646i54690,,6072.0,Intel,BX80646I54690,Intel Core i5,Haswell Refresh,Haswell Refresh,LGA1150,4,3.5 GHz,3.9 GHz,,,1 MB,6 MB,84 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,No
Intel Core i7-6950X 3 GHz 10-Core OEM/Tray Processor,https://m.media-amazon.com/images/I/511IqL3RMBL.jpg,https://pcpartpicker.com/product/GsL7YJ/intel-cpu-cm8067102055800,,,Intel,CM8067102055800,Intel Core i7 Extreme,Broadwell,Broadwell-E,LGA2011-3,10,3 GHz,3.5 GHz,,,2.5 MB,25 MB,140 W,,,No,No,OEM/Tray,14 nm,No,Yes: Hyper-Threading
Intel Core i9-14900F 2 GHz 24-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/9ad5851cc322799cc6c3352f6a899247.256p.jpg,https://pcpartpicker.com/product/RNjRsY/intel-core-i9-14900f-2-ghz-24-core-processor-bx8071514900f,,69708.0,Intel,BX8071514900F,Intel Core i9,Raptor Lake Refresh,Raptor Lake Refresh,LGA1700,24,2 GHz,5.8 GHz,1.5 GHz,4.3 GHz,32 MB,36 MB,65 W,,192 GB,Yes,Yes,Boxed,7 nm,Yes,Yes: Hyper-Threading
Intel Core i9-13900KS 3 GHz 24-Core Processor,,https://pcpartpicker.com/product/TNLFf7/intel-core-i9-13900ks-3-ghz-24-core-processor-bx8071513900ks,,84483.0,Intel,BX8071513900KS,Intel Core i9,Raptor Lake,Raptor Lake,LGA1700,24,3 GHz,6 GHz,2.4 GHz,4.3 GHz,32 MB,36 MB,150 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD FX-6300 3.5 GHz 6-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/d665dacd8ecefc1e5338899c0052dd93.256p.jpg,https://pcpartpicker.com/product/PnxfrH/amd-cpu-fd6300wmhkbox,,,AMD,FD6300WMHKBOX,AMD FX,Piledriver,Vishera,AM3+,6,3.5 GHz,,,,6 MB,8 MB,95 W,,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i3-9100F 3.6 GHz Quad-Core Processor,https://cdna.pcpartpicker.com/static/forever/images/product/0d74fb44f832ad674549787311aafa0f.256p.jpg,https://pcpartpicker.com/product/YTbwrH/intel-core-i3-9100f-36-ghz-quad-core-processor-bx80684i39100f,,11326.0,Intel,BX80684i39100F,Intel Core i3,Coffee Lake Refresh,Coffee Lake Refresh,LGA1151,4,3.6 GHz,4.2 GHz,,,1 MB,6 MB,65 W,,64 GB,Yes,Yes,Boxed,14 nm,Yes,No
Intel Core i5-4590 3.3 GHz Quad-Core Processor,,https://pcpartpicker.com/product/7bNp99/intel-cpu-bx80646i54590,,,Intel,BX80646I54590,Intel Core i5,Haswell Refresh,Haswell Refresh,LGA1150,4,3.3 GHz,3.7 GHz,,,1 MB,6 MB,84 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,No
Intel Xeon E5-2680 V4 2.4 GHz 14-Core Processor,,https://pcpartpicker.com/product/zqmxFT/intel-cpu-bx80660e52680v4,,239389.0,Intel,BX80660E52680V4,Intel Xeon E5,Broadwell,Broadwell-EP,LGA2011-3,14,2.4 GHz,3.3 GHz,,,3.5 MB,35 MB,120 W,,1536 GB,Yes,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i3-4150 3.5 GHz Dual-Core Processor,,https://pcpartpicker.com/product/qMJwrH/intel-cpu-bx80646i34150,,3494.0,Intel,BX80646I34150,Intel Core i3,Haswell Refresh,Haswell Refresh,LGA1150,2,3.5 GHz,,,,0.5 MB,3 MB,54 W,Intel HD Graphics 4400,,Yes,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
