Name,Image URL,Product URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,HDMI 2.1b Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,DisplayPort 2.1a Outputs,DisplayPort 2.1b Outputs,SLI/CrossFire
Asus PRIME OC GeForce RTX 5060 Ti 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/6695f767bebecd3026001c4e80f8adee.256p.jpg,https://pcpartpicker.com/product/wjWmP6/asus-prime-oc-geforce-rtx-5060-ti-16-gb-video-card-prime-rtx5060ti-o16g,61890.0,Asus,"prime-rtx5060ti-o16g, 90YV0MH2-M0NA00, 90YV0MH2-M0AA00",GeForce RTX 5060 Ti,16 GB,GDDR7,2410 MHz,2647 MHz,,PCIe x16,Black,G-Sync,304 mm,180 W,2,3,3 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Gigabyte GAMING OC Radeon RX 7600 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/b537a4618dfe7ddd95ae47d707977a18.256p.jpg,https://pcpartpicker.com/product/sqyH99/gigabyte-gaming-oc-radeon-rx-7600-xt-16-gb-video-card-gv-r76xtgaming-oc-16gd,,Gigabyte,GV-R76XTGAMING OC-16GD,Radeon RX 7600 XT,16 GB,GDDR6,1720 MHz,2810 MHz,18000 MHz,PCIe x16,Black / Gray,FreeSync,281 mm,190 W,2,3,3 Fans,2 x PCIe 8-pin,,,,2.0,,,,2.0,,,
MSI VENTUS 3X OC GeForce RTX 5090 32 GB Video Card,,https://pcpartpicker.com/product/jcYfrH/msi-ventus-3x-oc-geforce-rtx-5090-32-gb-video-card-geforce-rtx-5090-32g-ventus-3x-oc,583525.0,MSI,"GeForce RTX 5090 32G VENTUS 3X OC, RTX 5090 32G VENTUS 3X OC, G5090-32V3C, V530-060R, 912-V530-061",GeForce RTX 5090,32 GB,GDDR7,2010 MHz,,,PCIe x16,Silver / Black,G-Sync,325 mm,575 W,3,4,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
Gigabyte WINDFORCE OC GeForce RTX 5090 32 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/489677aed9d2d1fca4cb586b6dedc274.256p.jpg,https://pcpartpicker.com/product/WZRnTW/gigabyte-windforce-oc-geforce-rtx-5090-32-gb-video-card-gv-n5090wf3oc-32gd,350324.0,Gigabyte,GV-N5090WF3OC-32GD,GeForce RTX 5090,32 GB,GDDR7,2010 MHz,2467 MHz,,PCIe x16,Black,G-Sync,342 mm,575 W,2,4,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,1.0,,,,,3.0,
MSI VENTUS 2X BLACK OC GeForce RTX 4060 Ti 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/8740510e5c21901f28302bbcf3950e12.256p.jpg,https://pcpartpicker.com/product/4DkH99/msi-ventus-2x-black-oc-geforce-rtx-4060-ti-16-gb-video-card-rtx-4060-ti-ventus-2x-black-16g-oc,56051.0,MSI,"RTX 4060 Ti VENTUS 2X BLACK 16G OC, GeForce RTX 4060 Ti VENTUS 2X BLACK 16G OC, 912-V517-014, V517-005R",GeForce RTX 4060 Ti,16 GB,GDDR6,2310 MHz,2625 MHz,,PCIe x16,Black,G-Sync,199 mm,165 W,2,2,2 Fans,1 x PCIe 8-pin,,,,1.0,,,3.0,,,,
MSI GeForce RTX 2070 SUPER VENTUS GP OC GeForce RTX 2070 SUPER 8 GB Video Card,https://m.media-amazon.com/images/I/412KNEKm-mL.jpg,https://pcpartpicker.com/product/RmJmP6/msi-geforce-rtx-2070-super-8-gb-ventus-gp-oc-video-card-rtx-2070-super-ventus-gp-oc,80458.0,MSI,"RTX 2070 SUPER VENTUS GP OC, GEFORCE RTX 2070 SUPER VENTUS GP OC",GeForce RTX 2070 SUPER,8 GB,GDDR6,1605 MHz,1785 MHz,14000 MHz,PCIe x16,Silver / Black,G-Sync,258 mm,235 W,2,2,2 Fans,1 x PCIe 8-pin + 1 x PCIe 6-pin,1.0,3.0,,,,,,,,,2-way SLI Capable
ASRock Phantom Gaming OC Arc A770 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/62b1e9d875d87da9f867fe99cf10354c.256p.jpg,https://pcpartpicker.com/product/QVGhP6/asrock-phantom-gaming-oc-arc-a770-16-gb-video-card-a770-pg-16go,52478.0,ASRock,"A770 PG 16GO, 90-GA4KZZ-00UANF",Arc A770,16 GB,GDDR6,2100 MHz,,17500 MHz,PCIe x16,Black,,305 mm,225 W,2,3,3 Fans,2 x PCIe 8-pin,,,,,,,,,,,
PNY Dual Fan OC GeForce RTX 5060 Ti 8 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/3d086ea2ea25e57886cd68c49337b0fb.256p.jpg,https://pcpartpicker.com/product/mkHp99/pny-dual-fan-oc-geforce-rtx-5060-ti-8-gb-video-card-vcg5060t8dfxpb1-o,44373.0,PNY,VCG5060T8DFXPB1-O,GeForce RTX 5060 Ti,8 GB,GDDR7,2407 MHz,2692 MHz,28000 MHz,PCIe x16,Black,G-Sync,245 mm,180 W,2,2,2 Fans,1 x PCIe 8-pin,,,,,1.0,,,,,3.0,
Sapphire NITRO+ Radeon RX 9060 XT 16 GB Video Card,https://cdna.pcpartpicker.com/static/forever/images/product/c5cdbe28b0dbf779d144b39d1232488f.256p.jpg,https://pcpartpicker.com/product/cny8TW/sapphire-nitro-radeon-rx-9060-xt-16-gb-video-card-11350-01-20g,87172.0,Sapphire,11350-01-20G,Radeon RX 9060 XT,16 GB,GDDR6,2220 MHz,3320 MHz,,PCIe x16,Black,FreeSync,300 mm,182 W,2,3,3 Fans,1 x PCIe 8-pin,,,,,2.0,,,,1.0,,
Asus ROG Astral BTF OC GeForce RTX 5090 32 GB Video Card,https://m.media-amazon.com/images/I/41u7PAXAIwL.jpg,https://pcpartpicker.com/product/pcRnTW/asus-rog-astral-btf-oc-geforce-rtx-5090-32-gb-video-card-rog-astral-rtx5090-o32g-btf-gaming,548843.0,Asus,rog-astral-rtx5090-o32g-btf-gaming,GeForce RTX 5090,32 GB,GDDR7,2010 MHz,2610 MHz,,PCIe x16 GC-HPWR,Black / Silver,G-Sync,358 mm,575 W,2,4,3 Fans,1 x PCIe 16-pin 12VHPWR,,,,,2.0,,,,,3.0,
