Name,Image URL,Product URL,Price,Manufacturer,Part #,Socket/CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,PCIe x8 Slots,PCIe x4 Slots,PCIe x1 Slots,PCI Slots,M.2 Slots,Mini-PCIe Slots,Half Mini-PCIe Slots,Mini-PCIe / mSATA Slots,mSATA Slots,SATA 6.0 Gb/s,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 2.0 Headers (Single Port),USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Scraped At
ASRock B760M PG Riptide Wifi Micro ATX LGA1700 Motherboard,,https://pcpartpicker.com/product/WbyH99/asrock-b760m-pg-riptide-wifi-micro-atx-lga1700-motherboard-b760m-pg-riptide-wifi,14012.0,ASRock,B760M PG Riptide Wifi,LGA1700,Micro ATX,Intel B760,192 GB,DDR5,4,"DDR5-3600, DDR5-4000, DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",Black,1.0,,,1.0,,"2280/22110 M-key, 2280 M-key, 2230 E-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,1.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:15:10.341Z
Gigabyte B550I AORUS PRO AX Mini ITX AM4 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/46324a9aac9a2c2e7b705b32a4632fba.256p.jpg,https://pcpartpicker.com/product/9pn8TW/gigabyte-b550i-aorus-pro-ax-mini-itx-am4-motherboard-b550i-aorus-pro-ax,24522.0,Gigabyte,B550I AORUS PRO AX,AM4,Mini ITX,AMD B550,64 GB,DDR4,2,"DDR4-2133, DDR4-2400, DDR4-2666, DDR4-2933, DDR4-3200, DDR4-3333, DDR4-3600, DDR4-4000, DDR4-4400, DDR4-4600, DDR4-4866, DDR4-5000",Black / Silver,1.0,,,,,"2260/2280 M-key, 2260/2280 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,1.0,,1.0,,,No,Wi-Fi 6,Yes,2026-01-20T11:15:16.338Z
MSI MEG X870E GODLIKE EATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/ad4f70457b02886f1e6f9c9ae20a72f1.256p.jpg,https://pcpartpicker.com/product/pRLdnQ/msi-meg-x870e-godlike-eatx-am5-motherboard-meg-x870e-godlike,191965.0,MSI,MEG X870E GODLIKE,AM5,EATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-5000, DDR5-5200, DDR5-5400, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200, DDR5-8400",Black,2.0,,1.0,,,"2260/2280 M-key, 2260/2280 M-key, 2280/22110 M-key, 2260/2280 M-key, 2260/2280 M-key",,,,,4.0,"1 x 10 Gb/s Ports (Marvell AQtion AQC113C), 1 x 5 Gb/s Ports (Realtek 8126)",Depends on CPU,2.0,,2.0,1.0,1.0,No,Wi-Fi 7,Yes,2026-01-20T11:15:22.344Z
Gigabyte B850 GAMING WIFI6 ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/3138eb73b8a80dfd7e279a4c1d7ab934.256p.jpg,https://pcpartpicker.com/product/3f8Pxr/gigabyte-b850-gaming-wifi6-atx-am5-motherboard-b850-gaming-wifi6,23206.0,Gigabyte,B850 GAMING WIFI6,AM5,ATX,AMD B850,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-5800, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7400, DDR5-7600, DDR5-7800, DDR5-7900, DDR5-7950, DDR5-8000, DDR5-8200",Black / Gray,4.0,,,,,"2280/22110 M-key, 2280/22110 M-key, 2280/22110 M-key",,,,,4.0,1 x 1 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 6,Yes,2026-01-20T11:15:29.340Z
Gigabyte B650 AORUS ELITE AX V2 ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/2bb6d5c9fa86895c102e1ee17fbebdf3.256p.jpg,https://pcpartpicker.com/product/KrWJ7P/gigabyte-b650-aorus-elite-ax-v2-atx-am5-motherboard-b650-aorus-elite-ax-v2,23354.0,Gigabyte,B650 AORUS ELITE AX V2,AM5,ATX,AMD B650,192 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6666, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000",Black / Silver,3.0,,,,,"2580/25110 M-key, 2580/25110 M-key, 2580/25110 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,,1.0,No,Wi-Fi 6E,Yes,2026-01-20T11:15:35.333Z
Gigabyte B650M GAMING WIFI6E Micro ATX AM5 Motherboard,,https://pcpartpicker.com/product/sNQwrH/gigabyte-b650m-gaming-wifi6e-micro-atx-am5-motherboard-b650m-gaming-wifi6e,20401.0,Gigabyte,B650M GAMING WIFI6E,AM5,Micro ATX,AMD B650,128 GB,DDR5,2,"DDR5-4400, DDR5-6400, DDR5-7200",Silver / Black,1.0,,,1.0,,2580 M-key,,,,,4.0,1 x 2.5 Gb/s Ports (Realtek),Depends on CPU,2.0,,1.0,,,No,Wi-Fi 6E,Yes,2026-01-20T11:15:41.341Z
ASRock B650 Steel Legend WiFi ATX AM5 Motherboard,,https://pcpartpicker.com/product/MgHqqs/asrock-b650-steel-legend-wifi-atx-am5-motherboard-b650-steel-legend-wifi,24707.0,ASRock,B650 Steel Legend WiFi,AM5,ATX,AMD B650,256 GB,DDR5,4,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200",White / Silver,2.0,,,1.0,,"2260/2280 M-key, 2230/2260/2280 M-key, 2260/2280 M-key, 2230 E-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek RTL8125BG),Depends on CPU,2.0,,2.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:15:47.334Z
ASRock A620AM-X WiFi Micro ATX AM5 Motherboard,,https://pcpartpicker.com/product/Yrm2FT/asrock-a620am-x-wifi-micro-atx-am5-motherboard-a620am-x-wifi,10509.0,ASRock,A620AM-X WiFi,AM5,Micro ATX,AMD A620A,128 GB,DDR5,2,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-7600, DDR5-7800, DDR5-8000, DDR5-8200",Black,1.0,,,2.0,,"2280 M-key, 2280 M-key",,,,,4.0,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,2.0,,1.0,1.0,,No,Wi-Fi 5,Yes,2026-01-20T11:15:53.329Z
Asus ROG CROSSHAIR X870E HERO BTF ATX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/7ef93e079182741ba6097774e6184d29.256p.jpg,https://pcpartpicker.com/product/B9FCmG/asus-rog-crosshair-x870e-hero-btf-atx-am5-motherboard-rog-crosshair-x870e-hero-btf,87113.0,Asus,ROG CROSSHAIR X870E HERO BTF,AM5,ATX,AMD X870E,256 GB,DDR5,4,"DDR5-4800, DDR5-8000, DDR5-8200, DDR5-8600",Black,,,1.0,,,"2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2242/2260/2280 M-key, 2280 M-key",,,,,4.0,"1 x 2.5 Gb/s Ports (Intel), 1 x 5 Gb/s Ports (Realtek)",Depends on CPU,2.0,,2.0,,2.0,No,Wi-Fi 7,Yes,2026-01-20T11:15:59.333Z
ASRock A620AI WiFi Mini ITX AM5 Motherboard,https://cdna.pcpartpicker.com/static/forever/images/product/c3add07e7b316b6ba9612df7157dbc1e.256p.jpg,https://pcpartpicker.com/product/FcG2FT/asrock-a620ai-wifi-mini-itx-am5-motherboard-a620ai-wifi,16347.0,ASRock,A620AI WiFi,AM5,Mini ITX,AMD A620A,128 GB,DDR5,2,"DDR5-4400, DDR5-4800, DDR5-5200, DDR5-5600, DDR5-6000, DDR5-6200, DDR5-6400, DDR5-6600, DDR5-6800, DDR5-7000, DDR5-7200, DDR5-8200",Black,1.0,,,,,"2280 M-key, 2280 M-key, 2230 E-key",,,,,2.0,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),Depends on CPU,1.0,,1.0,1.0,,No,Wi-Fi 6E,Yes,2026-01-20T11:16:06.344Z
